epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
91,27951.2,0.88215,0.76853,1.0166,0.64456,0.64558,0.6631,0.33256,1.89827,1.87612,2.04151,0.000181703,0.000181703,0.000181703
92,28002.4,0.92234,0.75549,1.02932,0.577,0.70657,0.68696,0.34876,1.8835,1.79349,2.0624,0.0001652,0.0001652,0.0001652
93,28084.7,0.91563,0.79566,1.03625,0.6996,0.62911,0.68929,0.33971,1.89068,1.81685,2.07928,0.000148696,0.000148696,0.000148696
94,28175.9,0.91624,0.79254,0.99739,0.696,0.67136,0.70372,0.35227,1.8853,1.7737,2.07574,0.000132193,0.000132193,0.000132193
95,28263.5,0.86144,0.76467,0.98928,0.7164,0.67136,0.7087,0.35347,1.89717,1.73575,2.08392,0.00011569,0.00011569,0.00011569
96,28351.8,0.90429,0.76121,0.98253,0.62883,0.70987,0.69455,0.34521,1.91191,1.66123,2.10218,9.91865e-05,9.91865e-05,9.91865e-05
97,28432.3,0.84656,0.72689,1.00792,0.6012,0.73474,0.69748,0.34517,1.90071,1.64005,2.07491,8.26832e-05,8.26832e-05,8.26832e-05
98,28492.8,0.875,0.76597,1.01288,0.64111,0.67452,0.68111,0.33555,1.91049,1.60937,2.08086,6.61799e-05,6.61799e-05,6.61799e-05
99,28553.6,0.87985,0.71942,1.0059,0.72699,0.59935,0.67952,0.34298,1.89617,1.6337,2.07492,4.96766e-05,4.96766e-05,4.96766e-05
100,28654.9,0.87167,0.74045,1.02046,0.72098,0.59681,0.67136,0.32947,1.9162,1.67821,2.08967,3.31733e-05,3.31733e-05,3.31733e-05
